0001001111N0050000AICON                           U
00020010000000500}AIATTEMPT TO ADD BUT EXISTS     A
000300100001000000AEMRE                           D
000400100000065416AIRANDO ACCT                    U
000600100000050000DCRANDO CASH ACCT               U
0008099999R0999999ACRANDO ACCT                    U
00090999999099999RAITHIS IS UPDATING THE DESC     U
001000100000000001AERANDO ACCT                    D
0015002186J0846127AIRANDOM ACCT ADDED             A
00170089251009845MDERANDOM ACCT ADDED             A
006900849510498419ACRANDO ACCT                    U
099909944730413548ACRANDO ACCT                    D
